,Sentence
0,well someone should tell that to the employees at the denver baggage claim still no bag _exclamation_ _exclamation_ _exclamation_ _exclamation_  
1,let is all have a extraordinary week and make it a year to remember  thanks so much american airlines _exclamation_ _exclamation_ _exclamation_  
2,since i have an international connection at am i am hoping for the same thing _exclamation_  
3,woulda been nice of you to let us know that or post it _exclamation_ _exclamation_ _exclamation_ your boards still show the flight on time _exclamation_ _exclamation_ _exclamation_  
4,cond they put her on  am elite tonite i think she is on now worst customer service ever _exclamation_ u need to fix it 
5,saving my sanity leaving it behind for sunshine 
6,worst service ever _exclamation_ _exclamation_ delayed flights for more than  hours plus you missed my bag _exclamation_ and your employees are rude :pouting_face: :pouting_face: 
7,i am expecting  reimbursement for the unprofessional decisions with  on  feb check your very full complaint box 
8,i might look into that my wife travels much more than i do could we both use the membership _questionmark_  
9,i thought being a mosaic member had perks the best part is instead of checking the extra plus i am carrying it on :unamused_face: 
10,is there a probability that flight  from dew to dew will be delayed or cancelled lighted _questionmark_  
11,we already spoke to someone several times about the matter and no one is sympathetic or will fly us home early complimentary 
12,i am still in the airport waiting for my flight 
13,you suck and you ruined my day and my vacation isn i even until june 
14,please do me 
15,can we get an explanation on why  from so paulo to houston has been delayed _questionmark_ now we are hearing from crew about cancelled flightlations 
16,is there a way to know who checked my bag on the curb _questionmark_ she was awesome _exclamation_ _exclamation_ _exclamation_ and want to be sure she gets a high five _exclamation_  
17,your loyalty team basically flipped me off via phone but thanks maybe google loyalty and get back to me _questionmark_ lol 
18,disappoints again _exclamation_ lighted flights appointments refund is a lie 
19,i have fam thats supposed to fly   that are currently in the hosp  trys to speak to a human yr phone sys cuts off plus help _exclamation_  
20,when did american airlines start flying to and from siberia _questionmark_ wait this is the usa _questionmark_ oy _exclamation_  
21,thanks for your canned response that makes it look like you care about your customers i am sure all twitter users fall for it 
22,just got demoted from gold cuz my hubby got  of the pod tho there were neuf spent for  golds discrimination angry 
23,the lounge tells us they have no pillows for my grandma as one of the ladies opens the closet and i see  right there 
24,robocall me with another cancelled flirtation and then when i don't accept the change it won't let me connect to an agent just wow 
25,hopefully it is all fixed they have got a new aircraft for us just waiting to board 
26,yea but i was hoping to avoid the ticket difference amount as a birthday courtesy _questionmark_  
27,while you clearly did not care about our troubles day thought i i share bags took it min and came back absolutely drenched 
28, hours how do i change my flight that was cancelled lighted 
29,lol i already am i am a card member as well too lol i enjoy flying with you guys 
30,very poor customer service i will think again befor flight booking problems another united flight 
31,i love you guys _exclamation_ had to take a few other airlines this week makes me love and appreciate y all so much more _exclamation_  
32,and just bad is _exclamation_ i will be back on at least when you stuck they look out for you and apologize for any trouble 
33,to begin dallas austin in april   kerr 
34,our fleet is on fleek this happened 
35,worked like a charm bag was waiting on the carousel when we got to baggage claim 
36,thanks _exclamation_  
37,thanks _exclamation_ will you guys be getting the  anytime soon _questionmark_  
38,your call center won i let me wait on hold which i would happily do am i seriously supposed to just keep calling _questionmark_ not great 
39,today usain cancelled lighted our rescheduled flight amp did not notify us except possibly to our home phone not helpful since we are in co 
40,great flight yesterday from my to aus _exclamation_ _exclamation_ thank you for such great safety service and beautiful skies _exclamation_ _exclamation_  
41,over the phone i called the  number and she picked up almost immediately 
42,did you discontinue nonstop service from sec to bos _questionmark_ can not find  or  anywhere 
43,thanks 
44,as requested here i selfie somewhere over the rocky i 
45,i have continued contacting your phone reps for  hours and am still unable to get through that is absurd and i am livid 
46,scavenger hunt rules: 
